id;description;maximum;minimum;createdAt;updatedAt;dietGroupId;ingredientId
396;;80;;2017-12-05 18:34:54.949+00;2017-12-05 18:34:54.949+00;83;151
397;;80;;2017-12-05 18:34:56.177+00;2017-12-05 18:34:56.177+00;103;151
398;;80;;2017-12-05 18:34:57.094+00;2017-12-05 18:34:57.094+00;119;151
399;;80;;2017-12-05 18:34:57.968+00;2017-12-05 18:34:57.968+00;1;151
400;;80;;2017-12-05 18:34:58.666+00;2017-12-05 18:34:58.666+00;26;151
401;;100;;2017-12-05 18:34:59.878+00;2017-12-05 18:34:59.878+00;90;53
402;;100;;2017-12-05 18:35:01.781+00;2017-12-05 18:35:01.781+00;69;53
403;;100;;2017-12-05 18:35:03.862+00;2017-12-05 18:35:03.862+00;9;53
404;;100;;2017-12-05 18:35:05.081+00;2017-12-05 18:35:05.081+00;79;53
405;;100;;2017-12-05 18:35:05.955+00;2017-12-05 18:35:05.955+00;116;53
406;;100;;2017-12-05 18:35:07.18+00;2017-12-05 18:35:07.18+00;50;53
407;;100;;2017-12-05 18:35:08.571+00;2017-12-05 18:35:08.571+00;5;53
408;;100;;2017-12-05 18:35:09.441+00;2017-12-05 18:35:09.441+00;150;53
409;;100;;2017-12-05 18:35:10.313+00;2017-12-05 18:35:10.313+00;144;53
410;;100;;2017-12-05 18:35:11.706+00;2017-12-05 18:35:11.706+00;83;53
411;;100;;2017-12-05 18:35:12.924+00;2017-12-05 18:35:12.924+00;103;53
412;;100;;2017-12-05 18:35:13.81+00;2017-12-05 18:35:13.81+00;119;53
413;;100;;2017-12-05 18:35:14.694+00;2017-12-05 18:35:14.694+00;1;53
414;;100;;2017-12-05 18:35:15.397+00;2017-12-05 18:35:15.397+00;26;53
415;;80;;2017-12-05 18:35:16.62+00;2017-12-05 18:35:16.62+00;90;32
416;;80;;2017-12-05 18:35:18.536+00;2017-12-05 18:35:18.536+00;69;32
417;;80;;2017-12-05 18:35:20.633+00;2017-12-05 18:35:20.633+00;9;32
418;;80;;2017-12-05 18:35:21.854+00;2017-12-05 18:35:21.854+00;79;32
419;;80;;2017-12-05 18:35:22.722+00;2017-12-05 18:35:22.722+00;116;32
420;;80;;2017-12-05 18:35:23.98+00;2017-12-05 18:35:23.98+00;50;32
421;;80;;2017-12-05 18:35:25.373+00;2017-12-05 18:35:25.373+00;5;32
422;;80;;2017-12-05 18:35:26.244+00;2017-12-05 18:35:26.244+00;150;32
423;;80;;2017-12-05 18:35:27.124+00;2017-12-05 18:35:27.124+00;144;32
424;;80;;2017-12-05 18:35:28.519+00;2017-12-05 18:35:28.519+00;83;32
425;;80;;2017-12-05 18:35:29.736+00;2017-12-05 18:35:29.736+00;103;32
426;;80;;2017-12-05 18:35:30.61+00;2017-12-05 18:35:30.61+00;119;32
427;;80;;2017-12-05 18:35:31.486+00;2017-12-05 18:35:31.486+00;1;32
428;;80;;2017-12-05 18:35:32.189+00;2017-12-05 18:35:32.189+00;26;32
429;;100;;2017-12-05 18:35:33.413+00;2017-12-05 18:35:33.413+00;90;41
430;;100;;2017-12-05 18:35:35.332+00;2017-12-05 18:35:35.332+00;69;41
431;;100;;2017-12-05 18:35:37.419+00;2017-12-05 18:35:37.419+00;9;41
432;;100;;2017-12-05 18:35:38.637+00;2017-12-05 18:35:38.637+00;79;41
433;;100;;2017-12-05 18:35:39.513+00;2017-12-05 18:35:39.513+00;116;41
434;;100;;2017-12-05 18:35:40.733+00;2017-12-05 18:35:40.733+00;50;41
435;;100;;2017-12-05 18:35:42.135+00;2017-12-05 18:35:42.135+00;5;41
436;;100;;2017-12-05 18:35:43.013+00;2017-12-05 18:35:43.013+00;150;41
437;;100;;2017-12-05 18:35:43.89+00;2017-12-05 18:35:43.89+00;144;41
438;;100;;2017-12-05 18:35:45.34+00;2017-12-05 18:35:45.34+00;83;41
439;;100;;2017-12-05 18:35:46.559+00;2017-12-05 18:35:46.559+00;103;41
440;;100;;2017-12-05 18:35:47.435+00;2017-12-05 18:35:47.435+00;119;41
441;;100;;2017-12-05 18:35:48.313+00;2017-12-05 18:35:48.313+00;1;41
442;;100;;2017-12-05 18:35:49.011+00;2017-12-05 18:35:49.011+00;26;41
443;;100;;2017-12-05 18:35:50.23+00;2017-12-05 18:35:50.23+00;90;26
444;;100;;2017-12-05 18:35:52.147+00;2017-12-05 18:35:52.147+00;69;26
445;;100;;2017-12-05 18:35:54.228+00;2017-12-05 18:35:54.228+00;9;26
446;;100;;2017-12-05 18:35:55.447+00;2017-12-05 18:35:55.447+00;79;26
447;;100;;2017-12-05 18:35:56.339+00;2017-12-05 18:35:56.339+00;116;26
448;;100;;2017-12-05 18:35:57.588+00;2017-12-05 18:35:57.588+00;50;26
449;;100;;2017-12-05 18:35:59.009+00;2017-12-05 18:35:59.009+00;5;26
450;;100;;2017-12-05 18:35:59.883+00;2017-12-05 18:35:59.883+00;150;26
451;;100;;2017-12-05 18:36:00.758+00;2017-12-05 18:36:00.758+00;144;26
452;;100;;2017-12-05 18:36:02.149+00;2017-12-05 18:36:02.149+00;83;26
453;;100;;2017-12-05 18:36:03.367+00;2017-12-05 18:36:03.367+00;103;26
454;;100;;2017-12-05 18:36:04.243+00;2017-12-05 18:36:04.243+00;119;26
455;;100;;2017-12-05 18:36:05.12+00;2017-12-05 18:36:05.12+00;1;26
456;;100;;2017-12-05 18:36:05.892+00;2017-12-05 18:36:05.892+00;26;26
457;;100;;2017-12-05 18:36:07.11+00;2017-12-05 18:36:07.11+00;90;49
458;;100;;2017-12-05 18:36:09.022+00;2017-12-05 18:36:09.022+00;69;49
