id;description;name;userName;createdAt;updatedAt;dietGroupId
74;;Brown Egg Strain, 12 - 18 Weeks, Ending Around 1500 g BW;;2017-12-05 17:14:42.504+00;2017-12-05 17:14:42.504+00;68
75;;Brown Egg Strain, 18 Weeks To 1st Egg, Ending Around 1600 g BW;;2017-12-05 17:14:49.198+00;2017-12-05 17:14:49.198+00;67
76;;Brown Egg Strain, 18 Weeks To 1st Egg, Ending Around 1600 g BW;;2017-12-05 17:14:55.859+00;2017-12-05 17:14:55.859+00;68
77;;Brown Egg Strain, 6 - 12 Weeks, Ending Around 1100 g BW;;2017-12-05 17:15:02.728+00;2017-12-05 17:15:02.728+00;67
78;;Brown Egg Strain, 6 - 12 Weeks, Ending Around 1100 g BW;;2017-12-05 17:15:09.453+00;2017-12-05 17:15:09.453+00;68
79;;Bulls Now Weighing Around 500kg (1100 lb), With Moderate Growth Intended;;2017-12-05 17:15:12.72+00;2017-12-05 17:15:12.72+00;71
80;;Bulls Now Weighing Around 500kg (1100 lb), With Moderate Growth Intended;;2017-12-05 17:15:15.434+00;2017-12-05 17:15:15.434+00;72
81;;Bulls Now Weighing Around 635kg (1400 lb), Rapid Growth Intended;;2017-12-05 17:15:17.96+00;2017-12-05 17:15:17.96+00;74
82;;Bulls Now Weighing Around 635kg (1400 lb), Rapid Growth Intended;;2017-12-05 17:15:20.821+00;2017-12-05 17:15:20.821+00;75
83;;Bulls Now Weighing Around 400kg (900 lb), With Moderate Growth Intended;;2017-12-05 17:15:23.907+00;2017-12-05 17:15:23.907+00;71
84;;Bulls Now Weighing Around 400kg (900 lb), With Moderate Growth Intended;;2017-12-05 17:15:26.944+00;2017-12-05 17:15:26.944+00;72
85;;Bulls Now Weighing Around 400kg (900 lb), With Rapid Growth Intended;;2017-12-05 17:15:29.997+00;2017-12-05 17:15:29.997+00;71
86;;Bulls Now Weighing Around 400kg (900 lb), With Rapid Growth Intended;;2017-12-05 17:15:33.046+00;2017-12-05 17:15:33.046+00;72
87;;Bulls Now Weighing Around 450kg (1000 lb), With Moderate Growth Intended;;2017-12-05 17:15:36.282+00;2017-12-05 17:15:36.282+00;71
88;;Bulls Now Weighing Around 450kg (1000 lb), With Moderate Growth Intended;;2017-12-05 17:15:39.009+00;2017-12-05 17:15:39.009+00;77
89;;Bulls Now Weighing Around 450kg (1000 lb), With Moderate Growth Intended;;2017-12-05 17:15:42.046+00;2017-12-05 17:15:42.046+00;78
90;;Bulls Now Weighing Around 450kg (1000 lb), With Moderate Growth Intended;;2017-12-05 17:15:45.444+00;2017-12-05 17:15:45.444+00;72
91;;Bulls Now Weighing Around 450kg (1000 lb), With Rapid Rapid Growth Intended;;2017-12-05 17:15:48.674+00;2017-12-05 17:15:48.674+00;77
92;;Bulls Now Weighing Around 450kg (1000 lb), With Rapid Rapid Growth Intended;;2017-12-05 17:15:51.897+00;2017-12-05 17:15:51.897+00;78
93;;Bulls Now Weighing Around 450kg (1000 lb), With Rapid Growth Intended;;2017-12-05 17:15:55.274+00;2017-12-05 17:15:55.274+00;71
160;;Cows Weighing Around 400 kg (900 lb);;2017-12-05 17:19:27.497+00;2017-12-05 17:19:27.497+00;89
94;;Bulls Now Weighing Around 450kg (1000 lb), With Rapid Growth Intended;;2017-12-05 17:15:58.548+00;2017-12-05 17:15:58.548+00;72
95;;Bulls Now Weighing Around 500kg (1100 lb), With Moderate Growth Intended;;2017-12-05 17:16:01.763+00;2017-12-05 17:16:01.763+00;77
96;;Bulls Now Weighing Around 500kg (1100 lb), With Moderate Growth Intended;;2017-12-05 17:16:05.138+00;2017-12-05 17:16:05.138+00;78
97;;Bulls Now Weighing Around 500kg (1100 lb), With Rapid Rapid Growth Intended;;2017-12-05 17:16:08.358+00;2017-12-05 17:16:08.358+00;77
98;;Bulls Now Weighing Around 500kg (1100 lb), With Rapid Rapid Growth Intended;;2017-12-05 17:16:11.63+00;2017-12-05 17:16:11.63+00;78
99;;Bulls Now Weighing Around 500kg (1100 lb), With Rapid Growth Intended;;2017-12-05 17:16:15.018+00;2017-12-05 17:16:15.018+00;71
100;;Bulls Now Weighing Around 500kg (1100 lb), With Rapid Growth Intended;;2017-12-05 17:16:18.226+00;2017-12-05 17:16:18.226+00;72
101;;Bulls Now Weighing Around 540kg (1200 lb), Moderate Growth Intended;;2017-12-05 17:16:21.449+00;2017-12-05 17:16:21.449+00;74
102;;Bulls Now Weighing Around 540kg (1200 lb), Moderate Growth Intended;;2017-12-05 17:16:24.825+00;2017-12-05 17:16:24.825+00;75
103;;Bulls Now Weighing Around 540kg (1200 lb), Rapid Growth Intended;;2017-12-05 17:16:28.046+00;2017-12-05 17:16:28.046+00;74
104;;Bulls Now Weighing Around 540kg (1200 lb), Rapid Growth Intended;;2017-12-05 17:16:31.269+00;2017-12-05 17:16:31.269+00;75
105;;Bulls Now Weighing Around 540kg (1200 lb), With Moderate Growth Intended;;2017-12-05 17:16:34.646+00;2017-12-05 17:16:34.646+00;71
106;;Bulls Now Weighing Around 540kg (1200 lb), With Moderate Growth Intended;;2017-12-05 17:16:37.925+00;2017-12-05 17:16:37.925+00;77
107;;Bulls Now Weighing Around 540kg (1200 lb), With Moderate Growth Intended;;2017-12-05 17:16:41.151+00;2017-12-05 17:16:41.151+00;78
108;;Bulls Now Weighing Around 540kg (1200 lb), With Moderate Growth Intended;;2017-12-05 17:16:44.516+00;2017-12-05 17:16:44.516+00;72
109;;Bulls Now Weighing Around 540kg (1200 lb), With Rapid Rapid Growth Intended;;2017-12-05 17:16:47.727+00;2017-12-05 17:16:47.727+00;77
110;;Bulls Now Weighing Around 540kg (1200 lb), With Rapid Rapid Growth Intended;;2017-12-05 17:16:50.971+00;2017-12-05 17:16:50.971+00;78
111;;Bulls Now Weighing Around 540kg (1200 lb), With Rapid Growth Intended;;2017-12-05 17:16:54.265+00;2017-12-05 17:16:54.265+00;71
112;;Bulls Now Weighing Around 540kg (1200 lb), With Rapid Growth Intended;;2017-12-05 17:16:57.455+00;2017-12-05 17:16:57.455+00;72
113;;Bulls Now Weighing Around 590kg (1300 lb), Moderate Growth Intended;;2017-12-05 17:17:00.682+00;2017-12-05 17:17:00.682+00;74
114;;Bulls Now Weighing Around 590kg (1300 lb), Moderate Growth Intended;;2017-12-05 17:17:03.894+00;2017-12-05 17:17:03.894+00;75
115;;Bulls Now Weighing Around 590kg (1300 lb), Rapid Growth Intended;;2017-12-05 17:17:07.119+00;2017-12-05 17:17:07.119+00;74
116;;Bulls Now Weighing Around 590kg (1300 lb), Rapid Growth Intended;;2017-12-05 17:17:10.368+00;2017-12-05 17:17:10.368+00;75
117;;Bulls Now Weighing Around 590kg (1300 lb), With Moderate Growth Intended;;2017-12-05 17:17:13.58+00;2017-12-05 17:17:13.58+00;77
118;;Bulls Now Weighing Around 590kg (1300 lb), With Moderate Growth Intended;;2017-12-05 17:17:16.788+00;2017-12-05 17:17:16.788+00;78
119;;Bulls Now Weighing Around 590kg (1300 lb), With Rapid Rapid Growth Intended;;2017-12-05 17:17:20.003+00;2017-12-05 17:17:20.003+00;77
120;;Bulls Now Weighing Around 590kg (1300 lb), With Rapid Rapid Growth Intended;;2017-12-05 17:17:23.225+00;2017-12-05 17:17:23.225+00;78
121;;Bulls Now Weighing Around 610kg (1350 lb), With Moderate Growth Intended;;2017-12-05 17:17:26.606+00;2017-12-05 17:17:26.606+00;71
122;;Bulls Now Weighing Around 610kg (1350 lb), With Moderate Growth Intended;;2017-12-05 17:17:29.802+00;2017-12-05 17:17:29.802+00;72
123;;Bulls Now Weighing Around 635kg (1400 lb), Moderate Growth Intended;;2017-12-05 17:17:33.018+00;2017-12-05 17:17:33.018+00;74
124;;Bulls Now Weighing Around 635kg (1400 lb), Moderate Growth Intended;;2017-12-05 17:17:36.415+00;2017-12-05 17:17:36.415+00;75
125;;Bulls Now Weighing Around 660kg (1450 lb), With Moderate Growth Intended;;2017-12-05 17:17:39.616+00;2017-12-05 17:17:39.616+00;77
126;;Bulls Now Weighing Around 660kg (1450 lb), With Moderate Growth Intended;;2017-12-05 17:17:42.827+00;2017-12-05 17:17:42.827+00;78
127;;Bulls Now Weighing Around 700kg (1550 lb), Moderate Growth Intended;;2017-12-05 17:17:46.195+00;2017-12-05 17:17:46.195+00;74
128;;Bulls Now Weighing Around 700kg (1550 lb), Moderate Growth Intended;;2017-12-05 17:17:49.438+00;2017-12-05 17:17:49.438+00;75
129;;Bulls Now Weighing Around 700kg (1550 lb), With Moderate Growth Intended;;2017-12-05 17:17:52.63+00;2017-12-05 17:17:52.63+00;71
130;;Bulls Now Weighing Around 700kg (1550 lb), With Moderate Growth Intended;;2017-12-05 17:17:56.039+00;2017-12-05 17:17:56.039+00;72
131;;Bulls Now Weighing Around 750kg (1650 lb), With Moderate Growth Intended;;2017-12-05 17:17:59.248+00;2017-12-05 17:17:59.248+00;77
132;;Bulls Now Weighing Around 750kg (1650 lb), With Moderate Growth Intended;;2017-12-05 17:18:02.456+00;2017-12-05 17:18:02.456+00;78
133;;Bulls Now Weighing Around 800kg (1760 lb), Moderate Growth Intended;;2017-12-05 17:18:05.803+00;2017-12-05 17:18:05.803+00;74
134;;Bulls Now Weighing Around 800kg (1760 lb), Moderate Growth Intended;;2017-12-05 17:18:09.007+00;2017-12-05 17:18:09.007+00;75
135;;Bulls Now Weighing Around 840kg (1850 lb), With Moderate Growth Intended;;2017-12-05 17:18:12.225+00;2017-12-05 17:18:12.225+00;77
136;;Bulls Now Weighing Around 840kg (1850 lb), With Moderate Growth Intended;;2017-12-05 17:18:15.612+00;2017-12-05 17:18:15.612+00;78
137;;Bulls Now Weighing Around 890kg (1960 lb), Moderate Growth Intended;;2017-12-05 17:18:18.829+00;2017-12-05 17:18:18.829+00;74
138;;Bulls Now Weighing Around 890kg (1960 lb), Moderate Growth Intended;;2017-12-05 17:18:22.057+00;2017-12-05 17:18:22.057+00;75
139;;Bulls Now Weighing Around 980kg (2160 lb), Moderate Growth Intended;;2017-12-05 17:18:25.447+00;2017-12-05 17:18:25.447+00;74
140;;Bulls Now Weighing Around 980kg (2160 lb), Moderate Growth Intended;;2017-12-05 17:18:28.648+00;2017-12-05 17:18:28.648+00;75
141;;BW 10 kg (22 lb) To Gain Around 150 g (0.33 lb)/Day;;2017-12-05 17:18:31.22+00;2017-12-05 17:18:31.22+00;81
487;;Lactating Mares, From Foaling To 3 Months;;2017-12-05 17:41:37.296+00;2017-12-05 17:41:37.296+00;152
142;;BW 10 kg (22 lb) To Gain Around 150 g (0.33 lb)/Day;;2017-12-05 17:18:34.174+00;2017-12-05 17:18:34.174+00;82
143;;BW 10 kg (22 lb) To Gain Around 100 g (0.22 lb)/Day;;2017-12-05 17:18:37.05+00;2017-12-05 17:18:37.05+00;81
144;;BW 10 kg (22 lb) To Gain Around 100 g (0.22 lb)/Day;;2017-12-05 17:18:39.945+00;2017-12-05 17:18:39.945+00;82
145;;BW 20 kg (44 lb) To Gain Around 150 g (0.33 lb)/Day;;2017-12-05 17:18:42.823+00;2017-12-05 17:18:42.823+00;81
146;;BW 20 kg (44 lb) To Gain Around 150 g (0.33 lb)/Day;;2017-12-05 17:18:45.853+00;2017-12-05 17:18:45.853+00;82
147;;BW 30 kg (66 lb) To Gain Around 100 g (0.22 lb)/Day;;2017-12-05 17:18:48.789+00;2017-12-05 17:18:48.789+00;81
148;;BW 30 kg (66 lb) To Gain Around 100 g (0.22 lb)/Day;;2017-12-05 17:18:51.675+00;2017-12-05 17:18:51.675+00;82
149;;BW 30 kg (66 lb) To Gain Around 150 g (0.33 lb)/Day;;2017-12-05 17:18:54.704+00;2017-12-05 17:18:54.704+00;81
150;;BW 30 kg (66 lb) To Gain Around 150 g (0.33 lb)/Day;;2017-12-05 17:18:57.6+00;2017-12-05 17:18:57.6+00;82
151;;BW 40 kg (88 lb) To Gain Around 100 g (0.22 lb)/Day;;2017-12-05 17:19:00.503+00;2017-12-05 17:19:00.503+00;81
152;;BW 40 kg (88 lb) To Gain Around 100 g (0.22 lb)/Day;;2017-12-05 17:19:03.418+00;2017-12-05 17:19:03.418+00;82
153;;BW 40 kg (88 lb) To Gain Around 150 g (0.33 lb)/Day;;2017-12-05 17:19:06.428+00;2017-12-05 17:19:06.428+00;81
154;;BW 40 kg (88 lb) To Gain Around 150 g (0.33 lb)/Day;;2017-12-05 17:19:09.294+00;2017-12-05 17:19:09.294+00;82
155;;Cows And heifers close To Calving;;2017-12-05 17:19:11.86+00;2017-12-05 17:19:11.86+00;85
156;;Cows And heifers close To Calving;;2017-12-05 17:19:14.688+00;2017-12-05 17:19:14.688+00;86
157;;Cows And heifers still far From Calving;;2017-12-05 17:19:17.974+00;2017-12-05 17:19:17.974+00;85
158;;Cows And heifers still far From Calving;;2017-12-05 17:19:20.947+00;2017-12-05 17:19:20.947+00;86
159;;Cows Weighing Around 400 kg (900 lb);;2017-12-05 17:19:23.904+00;2017-12-05 17:19:23.904+00;88
161;;Cows Weighing Around 450 kg (1000 lb);;2017-12-05 17:19:30.896+00;2017-12-05 17:19:30.896+00;88
162;;Cows Weighing Around 450 kg (1000 lb);;2017-12-05 17:19:34.324+00;2017-12-05 17:19:34.324+00;89
163;;Cows Weighing Around 500 kg (1100 lb);;2017-12-05 17:19:37.726+00;2017-12-05 17:19:37.726+00;88
164;;Cows Weighing Around 500 kg (1100 lb);;2017-12-05 17:19:41.136+00;2017-12-05 17:19:41.136+00;89
165;;Cows Weighing Around 545 kg (1200 lb);;2017-12-05 17:19:44.725+00;2017-12-05 17:19:44.725+00;88
166;;Cows Weighing Around 545 kg (1200 lb);;2017-12-05 17:19:48.14+00;2017-12-05 17:19:48.14+00;89
167;;Cows Weighing Around 590 kg (1300 lb);;2017-12-05 17:19:51.541+00;2017-12-05 17:19:51.541+00;88
168;;Cows Weighing Around 590 kg (1300 lb);;2017-12-05 17:19:55.12+00;2017-12-05 17:19:55.12+00;89
169;;Cows Weighing Around 630 kg (1400 lb);;2017-12-05 17:19:58.529+00;2017-12-05 17:19:58.529+00;88
170;;Cows Weighing Around 630 kg (1400 lb);;2017-12-05 17:20:01.938+00;2017-12-05 17:20:01.938+00;89
171;;Creep Feed Ration;;2017-12-05 17:20:04.638+00;2017-12-05 17:20:04.638+00;92
172;;Creep Feed Ration;;2017-12-05 17:20:07.343+00;2017-12-05 17:20:07.343+00;93
173;;Daily Production, Around 1 kg (2.2 lb) & 3% Butter Fat;;2017-12-05 17:20:09.885+00;2017-12-05 17:20:09.885+00;95
174;;Daily Production, Around 1 kg (2.2 lb) & 3% Butter Fat;;2017-12-05 17:20:12.836+00;2017-12-05 17:20:12.836+00;96
175;;Daily Production, Around 1 kg (2.2 lb) & 4% Butter Fat;;2017-12-05 17:20:16.044+00;2017-12-05 17:20:16.044+00;95
176;;Daily Production, Around 1 kg (2.2 lb) & 4% Butter Fat;;2017-12-05 17:20:19.09+00;2017-12-05 17:20:19.09+00;96
177;;Daily Production, Around 1 kg (2.2 lb) & 5% Butter Fat;;2017-12-05 17:20:22.132+00;2017-12-05 17:20:22.132+00;95
178;;Daily Production, Around 1 kg (2.2 lb) & 5% Butter Fat;;2017-12-05 17:20:25.355+00;2017-12-05 17:20:25.355+00;96
179;;Daily Production, Around 2 kg (4.4 lb) & 3% Butter Fat;;2017-12-05 17:20:28.415+00;2017-12-05 17:20:28.415+00;95
180;;Daily Production, Around 2 kg (4.4 lb) & 3% Butter Fat;;2017-12-05 17:20:31.47+00;2017-12-05 17:20:31.47+00;96
181;;Daily Production, Around 2 kg (4.4 lb) & 4% Butter Fat;;2017-12-05 17:20:34.682+00;2017-12-05 17:20:34.682+00;95
182;;Daily Production, Around 2 kg (4.4 lb) & 4% Butter Fat;;2017-12-05 17:20:37.735+00;2017-12-05 17:20:37.735+00;96
183;;Daily Production, Around 2 kg (4.4 lb) & 5% Butter Fat;;2017-12-05 17:20:40.766+00;2017-12-05 17:20:40.766+00;95
184;;Daily Production, Around 2 kg (4.4 lb) & 5% Butter Fat;;2017-12-05 17:20:43.825+00;2017-12-05 17:20:43.825+00;96
185;;Daily Production, Around 3 kg (6.6 lb) & 3% Butter Fat;;2017-12-05 17:20:46.892+00;2017-12-05 17:20:46.892+00;95
186;;Daily Production, Around 3 kg (6.6 lb) & 3% Butter Fat;;2017-12-05 17:20:49.966+00;2017-12-05 17:20:49.966+00;96
187;;Daily Production, Around 3 kg (6.6 lb) & 4% Butter Fat;;2017-12-05 17:20:53.081+00;2017-12-05 17:20:53.081+00;95
188;;Daily Production, Around 3 kg (6.6 lb) & 4% Butter Fat;;2017-12-05 17:20:56.327+00;2017-12-05 17:20:56.327+00;96
189;;Daily Production, Around 3 kg (6.6 lb) & 5% Butter Fat;;2017-12-05 17:20:59.391+00;2017-12-05 17:20:59.391+00;95
190;;Daily Production, Around 3 kg (6.6 lb) & 5% Butter Fat;;2017-12-05 17:21:02.432+00;2017-12-05 17:21:02.432+00;96
191;;Daily Production, Around 4 kg (8.8 lb) & 3% Butter Fat;;2017-12-05 17:21:05.629+00;2017-12-05 17:21:05.629+00;95
192;;Daily Production, Around 4 kg (8.8 lb) & 3% Butter Fat;;2017-12-05 17:21:08.676+00;2017-12-05 17:21:08.676+00;96
193;;Daily Production, Around 4 kg (8.8 lb) & 4% Butter Fat;;2017-12-05 17:21:11.704+00;2017-12-05 17:21:11.704+00;95
194;;Daily Production, Around 4 kg (8.8 lb) & 4% Butter Fat;;2017-12-05 17:21:14.935+00;2017-12-05 17:21:14.935+00;96
195;;Daily Production, Around 4 kg (8.8 lb) & 5% Butter Fat;;2017-12-05 17:21:17.96+00;2017-12-05 17:21:17.96+00;95
196;;Daily Production, Around 4 kg (8.8 lb) & 5% Butter Fat;;2017-12-05 17:21:21.046+00;2017-12-05 17:21:21.046+00;96
197;;Daily Production, Around 5 kg (11 lb) & 3% Butter Fat;;2017-12-05 17:21:24.093+00;2017-12-05 17:21:24.093+00;95
198;;Daily Production, Around 5 kg (11 lb) & 3% Butter Fat;;2017-12-05 17:21:27.176+00;2017-12-05 17:21:27.176+00;96
199;;Daily Production, Around 5 kg (11 lb) & 4% Butter Fat;;2017-12-05 17:21:30.263+00;2017-12-05 17:21:30.263+00;95
200;;Daily Production, Around 5 kg (11 lb) & 4% Butter Fat;;2017-12-05 17:21:33.323+00;2017-12-05 17:21:33.323+00;96
