id;createdAt;updatedAt;dietId;comparisonDietId
175;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;347;352
176;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;348;351
177;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;349;350
178;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;353;354
179;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;355;360
180;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;356;359
181;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;357;358
182;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;361;365
183;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;362;366
184;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;363;364
185;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;367;368
186;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;369;370
187;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;371;372
188;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;373;374
189;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;375;378
190;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;376;377
191;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;379;380
192;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;381;382
193;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;383;384
194;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;385;386
195;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;387;388
196;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;389;390
197;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;391;392
198;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;393;394
199;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;395;396
200;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;397;398
201;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;399;400
202;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;401;402
203;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;403;404
204;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;405;406
205;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;407;408
206;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;409;410
207;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;411;412
208;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;413;414
209;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;415;416
210;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;417;418
211;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;419;422
212;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;420;421
213;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;423;424
214;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;425;426
215;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;427;430
216;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;428;429
217;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;431;432
218;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;433;434
219;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;435;436
220;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;437;440
221;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;438;439
222;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;441;442
223;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;443;444
224;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;445;448
225;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;446;447
226;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;449;450
227;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;451;452
228;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;453;454
229;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;455;456
230;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;457;458
231;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;459;460
232;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;461;462
233;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;463;464
234;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;465;467
235;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;466;468
236;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;469;472
237;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;470;471
238;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;473;474
239;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;475;476
240;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;477;478
241;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;479;480
242;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;481;482
243;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;483;484
244;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;485;486
245;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;489;490
246;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;491;492
247;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;493;494
248;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;495;496
249;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;497;498
250;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;499;501
251;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;500;502
252;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;503;505
253;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;504;506
254;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;507;508
255;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;509;510
256;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;511;514
257;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;512;513
258;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;515;519
259;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;516;520
260;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;517;518
261;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;521;522
262;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;523;524
263;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;525;526
264;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;527;528
265;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;529;530
266;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;531;532
267;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;533;534
268;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;535;536
269;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;537;538
270;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;539;540
271;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;541;542
272;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;543;544
273;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;545;546
274;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;547;551
275;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;548;552
276;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;549;550
277;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;553;554
278;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;555;556
279;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;557;558
280;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;559;560
281;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;561;562
282;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;563;564
283;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;565;566
284;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;567;572
285;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;568;571
286;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;569;570
287;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;573;577
288;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;574;578
289;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;575;576
290;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;579;580
291;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;581;582
292;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;583;584
293;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;585;586
294;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;587;588
295;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;589;590
296;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;591;592
297;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;593;594
298;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;595;596
299;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;597;598
300;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;599;600
301;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;601;602
302;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;603;604
303;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;605;606
304;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;607;608
305;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;609;610
306;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;611;614
307;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;612;613
308;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;615;618
309;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;616;617
310;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;619;620
311;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;621;622
312;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;623;624
313;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;625;626
314;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;627;628
315;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;629;630
316;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;631;632
317;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;633;634
318;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;635;636
319;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;637;638
320;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;639;640
321;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;641;642
322;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;643;644
323;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;645;646
324;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;647;648
325;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;649;650
326;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;651;652
327;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;653;654
328;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;655;656
329;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;657;658
330;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;659;660
331;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;661;662
