id;description;name;userName;createdAt;updatedAt;ingredientGroupId
95;;Cu, From Cupric Oxide;;2017-12-05 18:16:44.13+00;2017-12-05 18:16:44.13+00;11
96;;Cu, From Cupric Sulphate Pentahydrate;;2017-12-05 18:16:47.365+00;2017-12-05 18:16:47.365+00;11
97;;Cys, As Cystine Or DL-Cystine;;2017-12-05 18:16:50.608+00;2017-12-05 18:16:50.608+00;6
98;;Di-Ammonium Phosphate;;2017-12-05 18:16:53.845+00;2017-12-05 18:16:53.845+00;4
99;;Distillers Grain, Wet;;2017-12-05 18:16:57.158+00;2017-12-05 18:16:57.158+00;9
100;;Fababean (Broadbean) Seeds;;2017-12-05 18:16:57.872+00;2017-12-05 18:16:57.872+00;9
101;;Fe, From Ferrous Sulphate;;2017-12-05 18:17:01.251+00;2017-12-05 18:17:01.251+00;11
102;;Feather Meal, Hydrolyzed;;2017-12-05 18:17:04.637+00;2017-12-05 18:17:04.637+00;9
103;;Fescue Hay;;2017-12-05 18:17:06.359+00;2017-12-05 18:17:06.359+00;2
104;;Fish Meal, Herring;;2017-12-05 18:17:09.729+00;2017-12-05 18:17:09.729+00;9
105;;Fish Meal, Menhaden;;2017-12-05 18:17:13.096+00;2017-12-05 18:17:13.096+00;9
106;;Fish Meal, White;;2017-12-05 18:17:16.502+00;2017-12-05 18:17:16.502+00;9
107;;Flaxseed Oil;;2017-12-05 18:17:19.903+00;2017-12-05 18:17:19.903+00;5
108;;Folic, As Folic Acid (Vitamin B9);;2017-12-05 18:17:23.288+00;2017-12-05 18:17:23.288+00;8
109;;Gly, As Glycine;;2017-12-05 18:17:26.782+00;2017-12-05 18:17:26.782+00;6
110;;Herring Oil;;2017-12-05 18:17:30.175+00;2017-12-05 18:17:30.175+00;5
111;;His, As DL-Histidine;;2017-12-05 18:17:33.6+00;2017-12-05 18:17:33.6+00;6
112;;His, As L-Histidine Monohydochloride;;2017-12-05 18:17:37.03+00;2017-12-05 18:17:37.03+00;6
113;;I, From Ethylene-Diamino-Dihydroiodide (EDDI);;2017-12-05 18:17:40.416+00;2017-12-05 18:17:40.416+00;11
114;;I, From Potassium Iodide;;2017-12-05 18:17:43.841+00;2017-12-05 18:17:43.841+00;11
115;;Inositol, As Myo-Inositol (Previously Known As Vitamin B8);;2017-12-05 18:17:47.384+00;2017-12-05 18:17:47.384+00;8
116;;Iso-L, As L-Iso-Leucine;;2017-12-05 18:17:51.719+00;2017-12-05 18:17:51.719+00;6
117;;K, As Potassium Bicarbonate (KHCO3);;2017-12-05 18:17:56.044+00;2017-12-05 18:17:56.044+00;10
118;;K, As Potassium Carbonate (K2CO3);;2017-12-05 18:17:59.561+00;2017-12-05 18:17:59.561+00;10
119;;K, As Potassium Chloride (KCl);;2017-12-05 18:18:02.865+00;2017-12-05 18:18:02.865+00;10
120;;K, As Potassium Iodide (KI);;2017-12-05 18:18:06.181+00;2017-12-05 18:18:06.181+00;10
121;;K, As Potassium Sulpnate (K2SO4);;2017-12-05 18:18:09.502+00;2017-12-05 18:18:09.502+00;10
122;;Lard (Pork);;2017-12-05 18:18:12.863+00;2017-12-05 18:18:12.863+00;5
123;;Lentil Seeds;;2017-12-05 18:18:16.225+00;2017-12-05 18:18:16.225+00;9
