id;value;createdAt;updatedAt;ingredientId;nutrientId
190;0.38;2017-12-05 18:11:37.982+00;2017-12-05 18:11:37.982+00;3;32
191;0.14;2017-12-05 18:11:37.982+00;2017-12-05 18:11:37.982+00;3;59
193;0.89;2017-12-05 18:11:37.982+00;2017-12-05 18:11:37.982+00;3;33
194;2.42;2017-12-05 18:11:37.982+00;2017-12-05 18:11:37.982+00;3;53
195;1.4;2017-12-05 18:11:37.983+00;2017-12-05 18:11:37.983+00;3;34
196;0.44;2017-12-05 18:11:37.983+00;2017-12-05 18:11:37.983+00;3;7
197;0.9;2017-12-05 18:11:37.983+00;2017-12-05 18:11:37.983+00;3;35
198;1.035;2017-12-05 18:11:37.983+00;2017-12-05 18:11:37.983+00;3;22
199;2.15;2017-12-05 18:11:37.984+00;2017-12-05 18:11:37.984+00;3;21
200;1.035;2017-12-05 18:11:37.984+00;2017-12-05 18:11:37.984+00;3;23
201;0.95;2017-12-05 18:11:37.984+00;2017-12-05 18:11:37.984+00;3;24
202;1.885;2017-12-05 18:11:37.984+00;2017-12-05 18:11:37.984+00;3;25
203;1.63;2017-12-05 18:11:37.984+00;2017-12-05 18:11:37.984+00;3;26
204;1.99;2017-12-05 18:11:37.985+00;2017-12-05 18:11:37.985+00;3;27
205;0.34;2017-12-05 18:11:37.985+00;2017-12-05 18:11:37.985+00;3;37
206;0.36;2017-12-05 18:11:37.985+00;2017-12-05 18:11:37.985+00;3;50
207;42;2017-12-05 18:11:37.985+00;2017-12-05 18:11:37.985+00;3;61
208;2.5;2017-12-05 18:11:37.985+00;2017-12-05 18:11:37.985+00;3;64
209;0.11;2017-12-05 18:11:37.986+00;2017-12-05 18:11:37.986+00;3;54
210;38.8;2017-12-05 18:11:37.986+00;2017-12-05 18:11:37.986+00;3;10
211;0.75;2017-12-05 18:11:37.986+00;2017-12-05 18:11:37.986+00;3;29
212;1.3;2017-12-05 18:11:37.986+00;2017-12-05 18:11:37.986+00;3;30
213;1.28;2017-12-05 18:11:37.986+00;2017-12-05 18:11:37.986+00;3;28
214;45;2017-12-05 18:11:37.987+00;2017-12-05 18:11:37.987+00;3;72
215;0.28;2017-12-05 18:11:37.99+00;2017-12-05 18:11:37.99+00;3;51
216;34;2017-12-05 18:11:37.991+00;2017-12-05 18:11:37.991+00;3;73
217;0.93;2017-12-05 18:11:37.991+00;2017-12-05 18:11:37.991+00;3;39
219;55.1;2017-12-05 18:11:37.991+00;2017-12-05 18:11:37.991+00;3;3
220;0.26;2017-12-05 18:11:37.992+00;2017-12-05 18:11:37.992+00;3;55
221;0.29;2017-12-05 18:11:37.992+00;2017-12-05 18:11:37.992+00;3;62
222;0.89;2017-12-05 18:11:37.992+00;2017-12-05 18:11:37.992+00;3;47
224;55.7;2017-12-05 18:11:37.993+00;2017-12-05 18:11:37.993+00;3;12
225;57.4;2017-12-05 18:11:37.993+00;2017-12-05 18:11:37.993+00;3;13
226;55.7;2017-12-05 18:11:37.993+00;2017-12-05 18:11:37.993+00;3;14
227;0.82;2017-12-05 18:11:37.993+00;2017-12-05 18:11:37.993+00;3;43
228;0.35;2017-12-05 18:11:37.993+00;2017-12-05 18:11:37.993+00;3;44
229;0.6;2017-12-05 18:11:37.994+00;2017-12-05 18:11:37.994+00;3;42
230;1.05;2017-12-05 18:11:37.994+00;2017-12-05 18:11:37.994+00;3;45
231;94.6;2017-12-05 18:11:37.994+00;2017-12-05 18:11:37.994+00;3;65
232;5.8;2017-12-05 18:11:37.995+00;2017-12-05 18:11:37.995+00;3;74
234;15.2;2017-12-05 18:11:37.995+00;2017-12-05 18:11:37.995+00;3;75
235;8;2017-12-05 18:11:37.995+00;2017-12-05 18:11:37.995+00;3;76
238;49.8;2017-12-05 18:11:37.996+00;2017-12-05 18:11:37.996+00;3;67
239;14.2;2017-12-05 18:11:37.996+00;2017-12-05 18:11:37.996+00;3;68
240;21.84;2017-12-05 18:11:37.996+00;2017-12-05 18:11:37.996+00;3;63
241;33.6;2017-12-05 18:11:41.446+00;2017-12-05 18:11:41.446+00;4;9
243;0.7;2017-12-05 18:11:41.447+00;2017-12-05 18:11:41.447+00;4;31
244;0.36;2017-12-05 18:11:41.447+00;2017-12-05 18:11:41.447+00;4;36
246;0.29;2017-12-05 18:11:41.448+00;2017-12-05 18:11:41.448+00;4;69
247;1.41;2017-12-05 18:11:41.448+00;2017-12-05 18:11:41.448+00;4;48
248;25.5;2017-12-05 18:11:41.448+00;2017-12-05 18:11:41.448+00;4;4
250;1320;2017-12-05 18:11:41.449+00;2017-12-05 18:11:41.449+00;4;70
251;0.34;2017-12-05 18:11:41.449+00;2017-12-05 18:11:41.449+00;4;49
252;0.32;2017-12-05 18:11:41.449+00;2017-12-05 18:11:41.449+00;4;56
253;17;2017-12-05 18:11:41.449+00;2017-12-05 18:11:41.449+00;4;2
255;13.4;2017-12-05 18:11:41.45+00;2017-12-05 18:11:41.45+00;4;58
256;0.16;2017-12-05 18:11:41.45+00;2017-12-05 18:11:41.45+00;4;38
257;2.42;2017-12-05 18:11:41.45+00;2017-12-05 18:11:41.45+00;4;15
258;2.14;2017-12-05 18:11:41.45+00;2017-12-05 18:11:41.45+00;4;16
