Group 1,Group 2,Feedstuff,Minimum,Maximum
,Pigs,Poultry fat,0,100
,Horses,Poultry fat,0,100
,Rabbits,Poultry fat,0,100
,Dairy Cattle,Poultry fat,0,100
,Game,Poultry fat,0,100
,Dogs,Poultry fat,0,100
,Alpacas and Llamas,Poultry fat,0,100
,Pigeons,Poultry fat,0,100
,Sheep,Lard (Pork),0,100
,Beef Cattle,Lard (Pork),0,100
,Poultry,Lard (Pork),0,100
,Goats,Lard (Pork),0,100
,Cats,Lard (Pork),0,100
,Fish,Lard (Pork),0,100
,Pigs,Lard (Pork),0,100
,Horses,Lard (Pork),0,100
,Rabbits,Lard (Pork),0,100
,Dairy Cattle,Lard (Pork),0,100
,Game,Lard (Pork),0,100
,Dogs,Lard (Pork),0,100
,Alpacas and Llamas,Lard (Pork),0,100
,Pigeons,Lard (Pork),0,100
,Sheep,"Na and Cl, as Salt",4,4
,Beef Cattle,"Na and Cl, as Salt",4,4
,Goats,"Na and Cl, as Salt",4,4
,Cats,"Na and Cl, as Salt",4,4
,Fish,"Na and Cl, as Salt",4,4
,Pigs,"Na and Cl, as Salt",4,4
,Horses,"Na and Cl, as Salt",4,4
,Rabbits,"Na and Cl, as Salt",4,4
,Dairy Cattle,"Na and Cl, as Salt",4,4
,Game,"Na and Cl, as Salt",4,4
,Dogs,"Na and Cl, as Salt",4,4
,Alpacas and Llamas,"Na and Cl, as Salt",4,4
,Pigeons,"Na and Cl, as Salt",4,4
,Sheep,"Cottonseed, whole, extruded",0,120
,Beef Cattle,"Cottonseed, whole, extruded",0,120
,Poultry,"Cottonseed, whole, extruded",0,120
,Goats,"Cottonseed, whole, extruded",0,120
,Cats,"Cottonseed, whole, extruded",0,120
,Fish,"Cottonseed, whole, extruded",0,120
,Pigs,"Cottonseed, whole, extruded",0,120
,Horses,"Cottonseed, whole, extruded",0,120
,Rabbits,"Cottonseed, whole, extruded",0,120
,Dairy Cattle,"Cottonseed, whole, extruded",0,120
,Game,"Cottonseed, whole, extruded",0,120
,Dogs,"Cottonseed, whole, extruded",0,120
,Alpacas and Llamas,"Cottonseed, whole, extruded",0,120
,Pigeons,"Cottonseed, whole, extruded",0,120
,Sheep,Urea 46% Nitrogen,0,4
,Beef Cattle,Urea 46% Nitrogen,0,4
,Poultry,Urea 46% Nitrogen,0,0
,Goats,Urea 46% Nitrogen,0,4
,Cats,Urea 46% Nitrogen,0,0
,Fish,Urea 46% Nitrogen,0,0
,Pigs,Urea 46% Nitrogen,0,0
