id;value;ingredientId;nutrientId
636;0;8;78
645;0;9;36
650;1342;9;70
653;9.79;9;2
658;1.98;9;16
665;1.16;9;6
670;0;9;32
674;0.22;9;53
679;1.5;9;21
682;0;9;25
688;2.5;9;64
693;0.67;9;28
700;0.25;9;55
703;0;9;41
708;0;9;44
715;6.9;9;76
124;1.88;2;27
129;0.1;2;54
137;0.84;2;39
142;0.72;2;47
147;55;2;14
150;0.86;2;45
154;13.6;2;75
159;8.2;2;68
163;0.91;3;31
168;20.8;3;4
180;2.07;3;18
185;3.3;3;6
191;0.14;3;59
196;0.44;3;7
201;0.95;3;24
206;0.36;3;50
211;0.75;3;29
216;34;3;73
221;0.29;3;62
226;55.7;3;14
230;1.05;3;45
235;8;3;76
240;21.84;3;63
244;0.7;4;31
249;0;4;80
254;0;4;57
258;2.14;4;16
263;91;4;1
268;4.3;4;71
273;0.66;4;33
278;0.95;4;22
283;1.5;4;26
288;2.5;4;64
293;1.21;4;28
298;0;4;40
303;0;4;41
308;0.22;4;44
313;0;4;77
317;0;4;66
325;0;5;52
329;1.19;5;48
332;0.3;5;56
337;2.28;5;15
342;2.02;5;20
347;250;5;60
352;0;5;79
357;0.474;5;35
365;0.16;5;37
370;45.8;5;10
375;0.22;5;51
380;0.28;5;55
385;48.4;5;13
388;0.55;5;45
394;9.8;5;75
398;31;5;63
401;39.6;6;9
406;0.3;6;69
411;0.35;6;49
416;0.092;6;38
421;0.94;6;19
426;92;6;11
431;0;6;59
440;0.95;6;23
445;0.13;6;37
450;51.9;6;10
455;0.24;6;51
460;0.27;6;55
465;44;6;13
470;0.44;6;45
474;10;6;75
479;7.6;6;68
481;0;7;8
486;0.3;7;69
491;0.35;7;49
496;0.144;7;38
501;1.46;7;19
506;92;7;11
512;0.544;7;33
516;0.17;7;7
521;0.859;7;24
526;0.3;7;50
535;0.61;7;29
540;0.3;7;55
545;51.6;7;13
550;0.67;7;45
555;7;7;76
560;30;7;63
563;0.68;8;31
567;1.37;8;48
572;0.32;8;56
576;0.15;8;38
581;1.79;8;19
586;90;8;11
591;0;8;59
596;0.1;8;7
603;1.5;8;26
608;2.5;8;64
612;1.27;8;28
616;27.6;8;73
621;0;8;62
627;0.65;8;43
635;7;8;76
640;28.09;8;63
643;0;9;31
647;0.8;9;48
652;0.3;9;56
657;1.93;9;15
662;1.98;9;20
667;250;9;60
672;0;9;79
678;0;9;35
685;0;9;37
690;60.52;9;10
695;0.16;9;51
699;0;9;40
704;41.2;9;12
709;0;9;42
713;0;9;77
720;25;9;63
721;11.55;10;9
125;0.25;2;37
132;1.25;2;30
136;29;2;73
140;0.29;2;55
145;0.7;2;43
149;0.55;2;42
157;0;2;66
164;0;3;52
169;0;3;80
172;0.26;3;56
175;11;3;58
177;2.57;3;15
182;2.38;3;20
187;346;3;60
192;0;3;79
199;2.15;3;21
204;1.99;3;27
209;0.11;3;54
214;45;3;72
219;55.1;3;3
224;55.7;3;12
229;0.6;3;42
234;15.2;3;75
239;14.2;3;68
241;0;4;8
246;0.29;4;69
251;0.34;4;49
256;0.16;4;38
261;1.81;4;19
266;92;4;11
271;0;4;59
276;0.15;4;7
281;0.859;4;24
286;0.32;4;50
291;0.66;4;29
297;0.82;4;39
302;0.7;4;47
307;0.68;4;43
312;3.2;4;74
318;100;4;67
322;0;5;8
326;29.9;5;4
331;0.35;5;49
336;0.12;5;38
341;1.17;5;19
346;92;5;11
351;0;5;59
356;0.18;5;7
361;0.859;5;24
366;0.3;5;50
371;0.51;5;29
376;28.5;5;73
381;0;5;62
386;47.2;5;14
391;28;5;65
396;0;5;78
404;0.19;6;36
407;33.44;6;4
413;13.7;6;2
418;2;6;16
423;88;6;1
428;4.35;6;71
433;0.35;6;33
437;0.38;6;35
444;1.5;6;26
449;0.12;6;54
454;36.2;6;72
459;26.4;6;3
464;43.4;6;12
468;0.12;6;44
473;0;6;77
478;103.6;6;67
483;33.4;7;9
488;26.7;7;4
493;15.5;7;2
498;2.07;7;16
503;89;7;1
508;4.31;7;71
513;0;7;79
517;0.59;7;35
523;1.5;7;26
528;2.5;7;64
531;1.16;7;30
536;28;7;73
541;0;7;62
546;50;7;14
551;29.1;7;65
557;0;7;78
565;0;8;52
570;1320;8;70
575;13.4;8;58
580;2.07;8;18
584;3.4;8;6
590;0.33;8;32
595;1.36;8;34
600;0.95;8;23
605;0.2;8;37
610;37.8;8;10
615;0.22;8;51
617;0.8;8;39
623;0;8;41
628;0.2;8;44
632;3.2;8;74
637;0;8;66
644;0;9;52
648;39.16;9;4
654;0;9;57
659;1.8;9;18
663;89;9;1
668;4.36;9;71
675;0;9;34
680;0.95;9;23
683;1.5;9;26
687;27;9;61
692;0.97;9;30
697;0;9;39
705;41.83;9;13
710;0;9;45
714;11;9;75
719;7.5;9;68
711;15;9;65
716;0;9;78
723;0;10;31
729;9.8;10;4
732;0;10;56
737;1.32;10;15
745;1.3;10;6
749;0;10;46
753;0;10;33
758;0;10;22
763;0;10;26
769;0.0035;10;54
775;0.109;10;51
780;0.098;10;55
785;22.05;10;13
790;0;10;45
795;0;10;76
800;9.1;10;63
802;0;11;31
807;13.2;11;4
813;6.4;11;2
816;1.23;11;15
821;0;11;19
826;82;11;11
831;0;11;59
836;0;11;7
841;0;11;24
846;0.132;11;50
852;0.229;11;29
857;0;11;39
862;0;11;47
867;0;11;43
872;0;11;74
877;0;11;66
885;0;12;52
889;0;12;70
895;0;12;58
900;0;12;18
904;1.24;12;5
908;0;12;46
912;0;12;79
918;0;12;22
923;0;12;26
928;0.9;12;64
933;0.4;12;28
938;0;12;40
943;0;12;41
947;0;12;43
951;7.4;12;65
956;0;12;78
964;0;13;36
969;6;13;4
972;5.3;13;2
979;1.03;13;17
983;26;13;1
987;82.07;13;60
992;0;13;79
997;0.2;13;35
1001;0;13;25
1006;0.09;13;50
1011;0.2;13;29
1016;8.9;13;73
1022;0;13;62
1027;0.2;13;43
1035;1.66;13;76
1040;9.39;13;63
1042;0;14;8
1047;0;14;48
1052;0;14;56
1057;0;14;15
1062;0;14;20
1067;0;14;60
1072;0;14;79
1076;0;14;7
1081;0;14;24
1086;0;14;50
1091;0;14;29
1099;0;14;3
1104;0;14;12
1109;0;14;42
1114;0;14;75
1120;0;14;63
1122;0;15;8
1127;0;15;48
1135;0;15;58
1139;0;15;16
1142;0;15;20
718;104.7;9;67
722;0;10;8
728;0.462;10;48
733;6.83;10;2
739;1.32;10;17
744;1.3;10;5
750;0;10;32
755;0;10;34
759;0.88;10;21
764;0;10;27
768;0.8;10;64
773;0.94;10;28
778;0;10;40
783;0;10;41
788;0;10;44
793;0;10;77
798;0;10;67
803;14.8;11;9
808;0.696;11;48
812;0;11;56
817;1.13;11;16
822;1.13;11;20
827;135.6;11;60
834;0.94;11;53
840;0;11;22
842;0;11;25
847;0;11;61
851;0.494;11;30
856;0;11;73
861;0;11;62
866;0;11;14
871;7.3;11;65
876;0;11;78
884;0;12;36
888;0;12;80
893;6.46;12;2
898;1.13;12;16
903;38;12;1
910;0;12;71
915;0;12;34
920;0.796;12;21
925;0;12;37
930;17.86;12;10
935;0.103;12;51
940;0.118;12;55
945;22.04;12;13
950;0;12;45
955;0;12;76
960;9.88;12;63
963;0.2;13;31
968;0;13;80
971;0.12;13;49
976;0.1;13;38
985;1;13;6
990;0.1;13;32
995;0.4;13;34
1000;0;13;23
1005;0.1;13;37
1010;0;13;10
1015;0.07;13;51
1019;0;13;3
1023;15.9;13;13
1030;0.3;13;45
1034;4.6;13;75
1039;0;13;68
1041;0;14;9
1046;0;14;69
1051;66.28;14;49
1056;0;14;38
1061;0;14;19
1066;0;14;11
1071;0;14;59
1077;0;14;35
1082;0;14;25
1087;0;14;61
1093;0;14;28
1098;0;14;73
1103;0;14;41
1108;0;14;44
1112;0;14;77
1117;0;14;66
1125;0;15;52
1130;0;15;70
1132;0;15;56
1140;0;15;17
1145;0;15;6
724;0;10;52
727;0;10;80
731;0.144;10;49
736;0;10;38
741;0;10;19
746;82;10;11
751;0;10;59
756;0;10;7
761;0;10;24
766;0.091;10;50
771;0.293;10;29
776;0;10;73
782;0;10;62
787;0;10;43
792;0;10;74
797;0;10;66
804;0;11;36
809;0;11;80
814;0;11;57
818;1.23;11;17
823;40;11;1
828;0;11;71
833;0;11;33
838;0.794;11;21
843;0;11;26
848;0.9;11;64
853;0.459;11;28
860;0.124;11;55
863;0;11;41
868;0;11;44
873;0;11;77
878;0;11;67
881;13.3;12;9
890;0;12;69
894;0;12;57
899;1.23;12;17
905;1.24;12;6
907;0;12;32
913;0;12;33
917;0;12;35
922;0;12;25
927;0;12;61
931;0.26;12;29
936;0;12;73
941;0;12;62
948;0;12;44
952;0;12;74
957;0;12;66
965;0;13;52
967;0.4;13;48
973;0;13;57
978;0.7;13;16
982;0.7;13;20
989;0.2;13;46
994;0.83;13;53
999;0.59;13;21
1004;0.59;13;27
1009;0.04;13;54
1013;0.35;13;28
1018;0;13;40
1025;0;13;41
1028;0;13;44
1032;1.65;13;74
1037;0;13;66
1043;0;14;36
1048;0;14;4
1053;163.63;14;2
1060;0;14;18
1064;0;14;5
1070;0;14;32
1075;0;14;34
1079;0;14;21
1083;0;14;26
1088;0;14;64
1094;0;14;51
1097;0;14;39
1102;0;14;47
1107;0;14;43
1111;0;14;74
1116;0;14;78
1124;0;15;36
1126;0;15;69
1131;0;15;49
1136;0;15;38
1141;0;15;19
726;0;10;69
735;0;10;58
738;1.22;10;16
742;1.22;10;20
747;37.65;10;60
752;0;10;79
757;0;10;35
762;0;10;25
767;0;10;61
772;0.502;10;30
777;0;10;39
781;0;10;47
786;0;10;14
791;7.5;10;65
796;0;10;78
805;0;11;52
810;0;11;70
815;0;11;58
820;0;11;18
825;1.08;11;6
830;0;11;32
835;0;11;34
837;0;11;35
845;0;11;27
849;0.012;11;54
854;0;11;72
859;3.6;11;3
864;0;11;12
870;0;11;45
874;0;11;75
879;0;11;68
882;0;12;8
887;11.4;12;4
892;0;12;56
897;1.23;12;15
902;1.13;12;20
906;92.72;12;60
911;0;12;59
916;0;12;7
921;0;12;24
926;0.125;12;50
932;0.495;12;30
937;0;12;39
942;0;12;47
946;0;12;14
953;0;12;77
959;0;12;67
962;0;13;8
970;374;13;70
974;0.09;13;56
977;1.03;13;15
981;0;13;19
986;41;13;11
991;0;13;59
996;0;13;7
1002;0;13;24
1008;24.11;13;61
1014;15.4;13;72
1020;0.1;13;55
1024;15.8;13;12
1029;0.2;13;42
1033;0;13;77
1038;0;13;67
1044;0;14;52
1049;0;14;80
1054;0;14;57
1058;0;14;16
1063;100;14;1
1068;0;14;71
1073;0;14;33
1078;0;14;22
1085;0;14;37
1090;0;14;10
1095;0;14;72
1096;0;14;40
1101;0;14;62
1106;0;14;14
1113;0;14;65
1118;0;14;67
1123;0;15;31
1128;0;15;4
1133;130.68;15;2
1137;0;15;18
1144;0;15;5
734;0;10;57
740;0;10;18
743;35;10;1
748;0;10;71
754;0.998;10;53
760;0;10;23
765;0;10;37
770;15.05;10;10
774;0;10;72
779;2.8;10;3
784;0;10;12
789;0;10;42
794;0;10;75
799;0;10;68
801;0;11;8
806;0;11;69
811;0.164;11;49
819;0;11;38
824;1.08;11;5
829;0;11;46
832;0;11;79
839;0;11;23
844;0;11;37
850;20.4;11;10
855;0.108;11;51
858;0;11;40
865;22;11;13
869;0;11;42
875;0;11;76
880;10.4;11;63
883;0;12;31
886;0.66;12;48
891;0.156;12;49
896;0;12;38
901;0;12;19
909;82;12;11
914;0.893;12;53
919;0;12;23
924;0;12;27
929;0.0038;12;54
934;0;12;72
939;3.42;12;3
944;0;12;12
949;0;12;42
954;0;12;75
958;0;12;68
961;0;13;9
966;0.12;13;69
