id;maximum;minimum;dietId;nutrientId
456;0.38;0.19;14;52
464;250;3.5;14;58
468;18;0;14;5
471;;0.24;14;32
475;;0.72;14;34
480;0.3;0.04;14;50
485;;7;14;73
490;;0.26;14;42
495;;2;14;75
500;1800;50;14;63
505;0.9;0.45;15;48
510;250;0;15;58
515;3000;0;15;60
520;;0.17;15;53
525;;0;15;37
528;;0.1;15;54
533;2;0;15;62
537;;0;15;45
542;;0;15;76
547;;0.19;16;31
556;10;0;16;4
561;3000;40;16;60
566;;0.17;16;53
570;;0.14;16;37
575;;7;16;72
580;;0.36;16;43
583;300000;1300;16;65
588;;1;16;76
593;;0;17;31
598;10;0;17;4
606;18;0;17;5
611;8.1;0;17;59
616;;0.1;17;7
619;;0;17;61
623;;0;17;73
628;;0;17;42
637;27072;0;17;66
640;;0.05;18;69
646;;0.08;18;49
652;18;0;18;5
656;8.1;0.14;18;59
662;5;3.265;18;25
666;;7;18;72
672;;0.38;18;43
675;;0.38;18;45
680;;1;18;76
685;;0;19;31
690;10;0;19;4
695;;0;19;38
700;;0;19;71
709;;0;19;34
714;0.8;0.4;19;51
719;;0;19;44
724;;0;19;77
729;;0;19;68
733;0.3;0.15;20;52
739;;0.08;20;49
744;5;3.4;20;19
747;;0.19;20;32
751;;0.54;20;34
756;0.3;0.04;20;50
761;;7;20;73
766;;0.21;20;42
771;;2;20;75
779;;0;21;31
222;2200;1500;8;66
227;1;0.5;9;48
232;;0.08;9;49
237;100;0;9;1
242;8.1;0;9;59
248;5;3.265;9;25
251;;0;9;61
256;;0;9;39
264;;0;9;74
269;;0;9;68
275;1;0.5;10;48
280;250;3.5;10;58
285;3000;50;10;60
290;;0.19;10;53
294;5;3.265;10;25
299;;7;10;72
305;1.53;0.12;10;44
310;;5;10;77
314;1000;11;10;67
321;;0;11;69
323;;0;11;70
328;5;3.4;11;19
333;;0;11;32
338;;0.1;11;7
346;0.9;0.45;11;51
351;;0;11;44
355;;0;11;74
361;;0;11;68
363;;0.19;12;31
367;1;0.5;12;48
371;15.9;14.9;12;2
375;100;0;12;1
380;8.1;0.14;12;59
385;;0.72;12;35
390;;0.1;12;54
395;2;0.15;12;62
400;300000;1300;12;65
404;27072;150;12;66
409;;0;13;31
417;10;0;13;4
421;18;0;13;5
426;8.1;0;13;59
431;5;3.265;13;25
436;;0.1;13;54
441;2;0;13;62
446;300000;0;13;65
450;27072;0;13;66
458;;0.05;14;69
461;;300;14;70
465;;0.24;14;38
474;;0.19;14;53
476;;0.1;14;7
483;;7;14;72
489;1.53;0.14;14;44
492;300000;1300;14;65
497;27072;150;14;66
503;;0;15;36
508;;0.08;15;49
514;18;0;15;5
518;;0;15;33
522;;0.1;15;7
530;0.8;0.4;15;51
535;;0;15;44
539;;0;15;74
545;;0;15;68
549;0.3;0.15;16;52
554;13.2;12.2;16;2
557;;0.17;16;38
562;;0.3;16;71
571;;0.46;16;34
576;0.8;0.4;16;51
581;1.53;0.1;16;44
586;;5;16;77
591;;0.5;16;68
595;;0;17;69
599;;0;17;70
603;;0;17;38
608;;0;17;71
617;;0;17;37
622;;0;17;72
626;;0;17;39
631;;0;17;74
634;;0;17;76
639;;0.19;18;31
644;10;0;18;4
649;;0.18;18;38
657;;0.31;18;33
660;;0.1;18;7
668;0.8;0.4;18;51
671;2;0.15;18;62
677;;1;18;74
681;27072;150;18;66
686;;0;19;36
691;;0.08;19;49
696;5;3.4;19;19
703;;0;19;33
707;;0.1;19;7
713;;0;19;72
718;;0;19;43
722;300000;0;19;65
727;27072;0;19;66
732;;0.52;20;36
737;250;3;20;58
741;;0.19;20;38
750;;0.17;20;53
754;5;3.265;20;25
760;0.8;0.4;20;51
765;1.53;0.11;20;44
769;;1;20;74
775;1000;11;20;67
777;;0;21;69
782;;0;21;4
787;250;0;21;58
792;;0;21;71
223;1000;40;8;67
225;;0;9;36
230;10;0;9;4
236;5;3.4;9;19
241;;0;9;32
247;;0;9;35
253;;0;9;72
258;;0;9;43
263;;0;9;77
268;1000;0;9;67
274;;0.05;10;69
278;;0.08;10;49
283;100;0;10;1
288;8.1;0.14;10;59
293;;0.67;10;35
298;;0.1;10;54
303;2;0.15;10;62
308;300000;1300;10;65
313;27072;150;10;66
318;;0;11;36
326;250;0;11;58
331;100;0;11;1
335;;0;11;33
339;;0;11;35
343;;0;11;61
348;;0;11;39
353;;0;11;45
358;;0;11;76
366;;0.05;12;69
370;;0.08;12;49
374;5;3.4;12;19
377;3000;50;12;60
379;;0.23;12;32
383;;0.67;12;34
384;;0.1;12;7
387;;0.19;12;37
389;;2;12;61
392;0.9;0.45;12;51
394;;0.41;12;39
397;1.53;0.13;12;44
399;;0.48;12;45
402;;5;12;77
405;;1;12;76
407;;0.5;12;68
410;;0;13;36
412;;0;13;69
414;;0;13;70
416;16.6;15.6;13;2
419;5;3.4;13;19
422;;0;13;38
424;;0;13;71
427;;0;13;33
429;;0;13;34
432;;0;13;35
435;;0;13;61
437;;0;13;72
440;;0;13;39
442;;0;13;43
445;;0;13;45
447;;0;13;77
451;;0;13;76
452;1000;0;13;67
455;;0.19;14;31
457;;0.67;14;36
460;10;0;14;4
463;16.6;15.6;14;2
466;5;3.4;14;19
467;100;0;14;1
470;;0.3;14;71
472;8.1;0.14;14;59
477;;0.77;14;35
479;;0.2;14;37
482;;0.1;14;54
484;0.9;0.45;14;51
486;;0.44;14;39
487;2;0.15;14;62
491;;0.52;14;45
494;;5;14;77
496;;1;14;76
498;;0.5;14;68
501;0.3;0.15;15;52
504;;0;15;31
506;10;0;15;4
509;13.2;12.2;15;2
511;;0;15;38
513;100;0;15;1
517;;0;15;32
519;8.1;0;15;59
523;;0;15;35
524;5;3.265;15;25
527;;0;15;61
529;;0;15;72
532;;0;15;39
534;;0;15;43
538;300000;0;15;65
540;;0;15;77
543;27072;0;15;66
544;1000;0;15;67
548;;0.45;16;36
550;;0.05;16;69
552;;300;16;70
555;250;3;16;58
559;5;3.4;16;19
560;18;0;16;5
563;;0.17;16;32
565;;0.29;16;33
568;;0.53;16;35
569;5;3.265;16;25
573;;2;16;61
574;;0.1;16;54
578;;0.29;16;39
579;2;0.15;16;62
582;;0.19;16;42
584;;0.35;16;45
587;;2;16;75
589;27072;150;16;66
596;0.3;0.15;17;52
601;13.7;12.7;17;2
604;5;3.4;17;19
612;;0.17;17;53
614;;0;17;35
618;0.3;0.04;17;50
627;;0;17;44
632;;0;17;77
635;;0;17;68
642;;0.48;18;36
647;13.7;12.7;18;2
650;5;3.4;18;19
654;;0.3;18;71
659;;0.5;18;34
664;0.3;0.04;18;50
673;1.53;0.1;18;44
676;300000;1300;18;65
682;1000;11;18;67
687;0.3;0.15;19;52
692;;0;19;70
697;100;0;19;1
701;;0;19;32
706;5;3.265;19;25
711;;0;19;61
716;;0;19;39
721;;0;19;45
726;;0;19;76
731;;0.19;20;31
736;10;0;20;4
745;3000;40;20;60
749;;0.33;20;33
753;;0.6;20;35
758;;0.1;20;54
763;2;0.15;20;62
768;300000;1300;20;65
773;27072;150;20;66
778;;0;21;36
783;;0;21;70
788;;0;21;38
795;;0;21;32
799;;0;21;35
803;0.5;0.05;21;50
811;;0;21;55
816;;0;21;42
821;;0;21;77
826;500;0;21;63
830;;0.15;22;69
832;;0;22;4
838;250;5;22;58
840;;0;22;5
845;300;0.3;22;59
851;4.414;2.8;22;26
856;3;0.15;22;54
861;;0;22;55
866;;0.62;22;42
871;;4;22;75
875;;1;22;68
880;;0;23;69
885;3;0.11;23;49
890;;0;23;5
895;300;0;23;59
900;;0;23;35
905;;0;23;64
910;;0;23;39
915;;0;23;44
919;3000;0;23;74
926;500;0;23;63
931;1.3;0.65;24;48
936;21;20;24;2
940;;0;24;5
944;300;0.3;24;59
950;;1;24;35
955;;0;24;64
960;;0.9;24;39
965;;0.2;24;44
970;;0.003;24;77
972;2200;750;24;66
592;1800;50;16;63
597;0.9;0.45;17;48
602;250;0;17;58
607;3000;0;17;60
609;;0;17;33
613;;0;17;34
621;0.8;0.4;17;51
625;;0;17;43
629;;0;17;45
636;1000;0;17;67
641;0.3;0.15;18;52
645;;300;18;70
651;100;0;18;1
655;;0.18;18;32
663;;0.15;18;37
665;;2;18;61
669;;7;18;73
678;;5;18;77
683;;0.5;18;68
688;;0;19;69
693;14.2;13.2;19;2
698;18;0;19;5
702;8.1;0;19;59
705;;0;19;35
710;0.3;0.04;19;50
715;;0;19;73
720;;0;19;42
725;;0;19;75
730;1800;0;19;63
734;0.9;0.45;20;48
738;;300;20;70
742;18;0;20;5
746;;0.3;20;71
755;;0.16;20;37
759;;7;20;72
764;;0.41;20;43
770;;5;20;77
774;;0.5;20;68
780;1.4;0.7;21;52
785;;0;21;56
790;;0;21;5
794;300;0;21;59
800;;1;21;7
804;2000;0;21;61
808;;0;21;51
813;;0;21;47
818;16000;0;21;65
823;2200;0;21;66
772;;1;20;76
776;1800;50;20;63
781;4.8;2.4;21;48
786;25;24;21;2
791;500;0;21;60
796;;0;21;33
801;4.414;2.8;21;26
805;;0;21;64
809;;0;21;73
814;;0;21;43
819;3000;0;21;74
824;1000;0;21;67
829;;0;22;36
834;;1000;22;70
836;25;24;22;2
842;;1;22;71
844;;0.42;22;32
849;;1;22;7
854;2000;60;22;61
859;;15;22;73
